id,content_id,city
323,160,Kharkiv
324,160,Kakhovka
325,161,Kherson
326,161,Kharkiv
327,162,Kherson
328,162,Kharkiv
329,162,Kakhovka
330,164,Kherson
331,164,Kharkiv
332,164,Lyman
333,164,Lviv
334,165,Donetsk
335,165,Kherson
336,165,Kakhovka
337,167,Kherson
338,167,Kakhovka
339,167,Kreminna
340,168,Kherson
341,170,Donetsk
342,170,Kherson
343,170,Lyman
344,170,Melitopol
345,171,Kherson
346,172,Kherson
347,172,Kharkiv
348,173,Kherson
349,175,Kherson
350,175,Odessa
351,175,Kharkiv
352,175,Lviv
353,175,Kreminna
354,176,Donetsk
355,176,Kherson
356,177,Sloviansk
357,177,Kherson
358,179,Kherson
359,179,Odessa
360,180,Kherson
361,180,Odessa
362,181,Kherson
363,181,Odessa
364,181,Kharkiv
365,181,Brovary
366,182,Odessa
367,182,Poltava
368,184,Kherson
369,185,Kherson
370,185,Kharkiv
371,185,Lyman
372,185,Lviv
373,186,Kherson
374,186,Odessa
375,187,Odessa
376,188,Kherson
377,189,Donetsk
378,189,Kharkiv
379,190,Brovary
380,191,Kherson
381,192,Kherson
382,192,Lviv
383,192,Rivne
384,193,Kherson
385,194,Brovary
386,195,Sloviansk
387,195,Kharkiv
388,195,Lyman
389,195,Rivne
390,195,Kreminna
391,196,Kherson
392,196,Kharkiv
393,197,Kherson
394,197,Kharkiv
395,197,Lviv
396,198,Kherson
397,198,Kharkiv
398,198,Lyman
399,199,Kyiv
400,199,Odessa
401,199,Kharkiv
402,199,Lviv
403,201,Kherson
404,201,Kharkiv
405,202,Kherson
406,202,Rivne
407,202,Melitopol
408,203,Kherson
409,203,Odessa
410,203,Lyman
411,203,Melitopol
412,204,Kherson
413,204,Odessa
414,205,Kherson
415,205,Kharkiv
416,205,Korosten
417,206,Kherson
418,206,Kharkiv
419,207,Sloviansk
420,207,Kherson
421,207,Odessa
422,207,Poltava
423,208,Kherson
424,208,Odessa
425,208,Kharkiv
426,209,Kherson
427,211,Kherson
428,211,Odessa
429,211,Lviv
430,212,Kherson
431,212,Kakhovka
432,213,Ternopil
433,213,Kherson
434,215,Kherson
435,216,Kherson
436,217,Kherson
437,218,Kherson
438,218,Lviv
439,218,Melitopol
440,219,Kherson
441,220,Kherson
442,220,Kakhovka
443,221,Kherson
444,222,Donetsk
445,222,Kherson
446,222,Smila
447,222,Kreminna
448,223,Kherson
449,223,Kakhovka
450,224,Sloviansk
451,224,Kherson
452,225,Kherson
453,225,Simferopol
454,226,Kherson
455,226,Kharkiv
456,227,Kherson
457,228,Kharkiv
458,230,Kherson
459,230,Odessa
460,230,Kharkiv
461,230,Kakhovka
462,231,Kherson
463,232,Kherson
464,233,Kherson
465,233,Odessa
466,233,Kakhovka
467,234,Kharkiv
468,235,Kherson
469,235,Kharkiv
470,236,Donetsk
471,236,Kharkiv
472,237,Kherson
473,237,Odessa
474,237,Kharkiv
475,237,Melitopol
476,238,Kyiv
477,238,Kherson
478,238,Kharkiv
479,239,Kherson
480,239,Kharkiv
481,240,Kherson
482,240,Kharkiv
483,240,Lviv
484,241,Sloviansk
485,241,Kharkiv
486,241,Lviv
487,242,Kherson
488,242,Kharkiv
489,243,Sloviansk
490,243,Kharkiv
491,244,Kherson
492,245,Lviv
493,246,Sloviansk
494,246,Kharkiv
495,246,Lviv
496,248,Kherson
497,249,Kharkiv
498,250,Donetsk
499,250,Sloviansk
500,250,Kherson
501,250,Kharkiv
502,251,Kherson
503,251,Lviv
504,252,Kherson
505,252,Kharkiv
506,253,Kherson
507,253,Kharkiv
508,253,Lviv
509,254,Sloviansk
510,254,Kherson
511,254,Kharkiv
512,255,Sloviansk
513,256,Donetsk
514,256,Sloviansk
515,256,Kherson
516,256,Kharkiv
517,257,Sloviansk
518,257,Odessa
519,257,Kharkiv
520,258,Sloviansk
521,259,Sloviansk
522,259,Kherson
523,259,Kharkiv
524,260,Donetsk
525,260,Sloviansk
526,260,Kherson
527,261,Kherson
528,261,Odessa
529,261,Kharkiv
530,262,Kherson
531,262,Kharkiv
532,262,Lviv
533,263,Kherson
534,263,Kharkiv
535,264,Kherson
536,264,Odessa
537,264,Kharkiv
538,264,Lviv
539,264,Kakhovka
540,265,Kharkiv
541,265,Berehove
542,266,Kherson
543,266,Saky
544,266,Kakhovka
545,267,Kherson
546,267,Lviv
547,267,Melitopol
548,268,Sloviansk
549,268,Kherson
550,268,Odessa
551,268,Kharkiv
552,268,Lviv
553,269,Kherson
554,269,Kharkiv
555,269,Saky
556,269,Kakhovka
557,270,Kherson
558,270,Odessa
559,271,Odessa
560,271,Kharkiv
561,271,Simferopol
562,271,Lviv
563,271,Saky
564,272,Kherson
565,272,Odessa
566,272,Kharkiv
567,272,Lviv
568,272,Kakhovka
569,273,Odessa
570,273,Kharkiv
571,273,Simferopol
572,273,Lviv
573,273,Saky
574,274,Ternopil
575,274,Sloviansk
576,274,Kherson
577,274,Kharkiv
578,274,Lviv
579,275,Odessa
580,275,Kharkiv
581,276,Kherson
582,276,Kharkiv
583,277,Kherson
584,277,Kharkiv
585,277,Lviv
586,277,Poltava
587,278,Kherson
588,278,Odessa
589,278,Kharkiv
590,278,Lviv
591,278,Poltava
592,279,Donetsk
593,279,Kharkiv
